condition,benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,ambiguous,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_kind,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,best_cr_half_window,best_ci_half_window,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
generic,0,C00,1.05,0.105,1.861849458323276e-10,0.0596915838649033,0.00960359,0.051924232,False,COMPLETED,True,0.7637943171570253,False,11,generic,5,0.9,0.002,0.7614583333333332,1e-06,3.515362588356661e-08,3.291359941090088e-19,3.515362588389575e-08,0,0.1,0.03,12,12,12,13,418.04070779972244
generic,1,C00,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.04619938,0.10239334,True,COMPLETED,True,0.7835925515755063,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,3.436761145452941e-08,4.893636415368027e-19,3.436761145501878e-08,0,0.1,0.015,12,12,12,13,408.3553054999793
generic,2,C00,1.1,0.105,0.0614720572586166,0.1377614529920954,0.06554711,0.10136479,False,COMPLETED,True,0.7134062448595364,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,3.5523824367350286e-08,4.1513472489127055e-19,3.552382436776542e-08,0,0.1,0.008,12,12,12,13,420.1038516940316
generic,3,C00,1.1,0.115,0.0840064838857459,0.1316074319054831,0.07631394,0.10816286,False,COMPLETED,True,0.690110557157541,False,11,generic,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,3.8333567141651797e-08,3.6919418368100724e-19,3.833356714202099e-08,0,0.1,0.03,12,12,12,13,427.6968486920232
generic,4,C00,1.2,0.075,0.1254037605689256,0.1278442189910901,0.12534627,0.14678708,False,COMPLETED,True,0.6487642662653409,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,2.7295745527991258e-08,5.7353423156041785e-19,2.729574552856479e-08,0,0.1,0.015,12,12,12,13,403.8964359627571
generic,5,C01,1.0,0.145,-5.6069094750228085e-11,0.0290465325718309,0.0029645264,0.04338873,False,COMPLETED,True,0.7620109404028627,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,4.8609707208965125e-08,2.4507032641965203e-19,4.8609707209210195e-08,0,0.1,0.008,12,12,12,13,429.5411097316537
generic,6,C01,1.0,0.155,-1.1093810174199796e-10,0.0355397248680497,0.0032099485,0.06000469,False,COMPLETED,True,0.7622855796676956,False,11,generic,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,5.2884108566584686e-08,2.1080898236224334e-19,5.28841085667955e-08,0,0.1,0.03,12,12,12,14,471.51699055486824
generic,7,C01,1.0,0.18,-4.0809311066342696e-10,0.0641392460321991,-0.000687778,0.07666625,False,COMPLETED,True,0.7641531924747299,False,10,generic,5,0.9,0.002,0.7614583333333332,1.9767361111111115e-05,5.878979681760115e-08,1.375646519771329e-19,5.8789796817738717e-08,0,0.1,0.015,12,12,12,13,445.5652813378256
generic,8,C01,1.05,0.14,0.0443825798422026,0.1272560731093161,0.057414338,0.10697,False,COMPLETED,True,0.728273309556184,False,9,generic,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,4.77954108795181e-08,2.651623821575773e-19,4.779541087978326e-08,0,0.1,0.008,12,12,12,13,433.1388461579336
generic,9,C01,1.15,0.175,0.193178755219419,0.0858418261519786,0.18874873,0.068635784,False,COMPLETED,True,0.5747263055888278,False,11,generic,2,0.9,0.0001,0.7614583333333332,1e-06,6.241769598299561e-08,1.2330834832631122e-19,6.241769598311892e-08,0,0.1,0.03,12,12,12,14,500.99049474368803
generic,10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.20869216,0.064648345,False,COMPLETED,True,0.557547633770749,False,10,generic,2,0.9,0.0001,0.7614583333333332,6.01171875e-06,6.252110218332218e-08,9.695379133167475e-20,6.252110218341914e-08,0,0.1,0.015,12,12,12,14,511.5470858338522
generic,11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.24428776,0.06646624,False,COMPLETED,True,0.5313530010791202,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,6.255850843820287e-08,1.2046246737745158e-19,6.255850843832334e-08,0,0.1,0.008,12,12,12,13,474.27872983622365
generic,12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.11011088,0.06385911,False,COMPLETED,True,0.6533004793230386,False,11,generic,5,0.9,0.002,0.7617187499999999,2.5335696373456797e-05,7.134762395536918e-08,1.8396507756791482e-20,7.134762395538758e-08,0,0.1,0.03,12,12,12,15,577.0473120468669
generic,13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.15882558,0.02823904,False,COMPLETED,True,0.6095498383807649,False,10,generic,5,0.9,0.002,0.7617187499999999,8.037760416666667e-06,8.827748515286068e-08,4.816797215179534e-21,8.82774851528655e-08,0,0.1,0.015,12,12,12,18,728.1774126716191
generic,14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.12625547,0.0781236,False,COMPLETED,True,0.6227809015577229,False,9,generic,5,0.9,0.002,0.7614583333333332,1.2171875e-05,7.101754289148246e-08,5.638210901579027e-20,7.101754289153884e-08,0,0.1,0.008,12,12,12,15,562.569739074097
generic,15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.1288271,0.0745805,False,COMPLETED,True,0.6190032064830657,False,11,generic,2,0.9,0.0001,0.7614583333333332,1e-06,2.4997720169171644e-08,7.001686602366622e-20,2.499772016924166e-08,0,0.1,0.03,12,12,12,15,564.0670935211238
generic,16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.20462894,0.0017850369,False,COMPLETED,True,0.55618576176879,False,10,generic,2,0.9,0.0001,0.7617187499999999,1e-06,9.296744946541157e-08,4.9507937974155365e-20,9.296744946546108e-08,0,0.1,0.015,12,12,12,20,840.9661683181766
generic,17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.18080717,0.07141138,False,COMPLETED,True,0.583918470653987,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,7.2065931053477e-08,6.598680139853984e-20,7.206593105354298e-08,0,0.1,0.008,12,12,12,15,564.1830572411418
generic,18,C02,1.1,0.265,0.2071896831590645,0.0445687947481188,0.20841847,0.046392817,False,COMPLETED,True,0.5560575733633311,False,11,generic,5,0.9,0.002,0.7614583333333332,1e-06,8.051772347218047e-08,6.449407714971346e-21,8.051772347218692e-08,0,0.1,0.03,12,12,12,15,587.6824500511866
generic,19,C02,1.15,0.23,0.2240340200598721,0.0560742848095208,0.23034637,0.055443585,False,COMPLETED,True,0.5403351682332951,False,10,generic,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,8.885312607402654e-08,4.4183606712224963e-20,8.885312607407072e-08,0,0.1,0.015,12,12,12,15,567.8508583612274
generic,20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.27288508,0.014161268,False,COMPLETED,True,0.4873833241886241,False,9,generic,5,0.9,0.002,0.7614583333333332,1e-06,1.2651109120881761e-08,6.121857748186142e-21,1.2651109120887882e-08,0,0.1,0.008,12,12,12,19,722.4653428018792
generic,21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.27371174,0.005834017,False,COMPLETED,True,0.47797765264382314,False,11,generic,2,0.9,0.0001,0.7617187499999999,1e-06,5.816544742140792e-08,9.739456784209442e-20,5.816544742150532e-08,0,0.1,0.03,12,12,12,21,828.7690292650368
generic,22,C10,1.3,0.085,0.2134213938242283,0.0967386008453398,0.22815315,0.09804351,False,COMPLETED,True,0.5564996673586815,False,10,generic,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,3.059334048779678e-08,5.2298122618696375e-19,3.0593340488319765e-08,0,0.1,0.015,12,12,12,13,418.14212529803626
generic,23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.19728044,0.09156128,False,COMPLETED,True,0.5644097448807021,False,9,generic,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,1.7660935401898162e-08,6.941204120461753e-19,1.7660935402592283e-08,0,0.1,0.008,12,12,12,12,352.5315344580449
generic,24,C10,1.35,0.09,0.2484573310607619,0.0834671719506741,0.2564376,0.08527956,False,COMPLETED,True,0.5197410716341727,False,11,generic,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,2.934331676387099e-08,4.994230519592836e-19,2.934331676437041e-08,0,0.1,0.03,12,12,12,13,427.0731801808579
generic,25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.24605283,0.07539043,False,COMPLETED,True,0.5064784321303165,False,10,generic,5,0.9,0.002,0.7614583333333332,1.976736111111111e-05,2.311515578610356e-08,5.813281280727701e-19,2.311515578668489e-08,0,0.1,0.015,12,12,12,13,410.8017142369645
